@RELATION league

@ATTRIBUTE champ1, numeric
@ATTRIBUTE kills1, numeric
@ATTRIBUTE deaths1, numeric
@ATTRIBUTE assists1, numeric
@ATTRIBUTE goldEarned1, numeric
@ATTRIBUTE totalMinionsKilled1, numeric
@ATTRIBUTE neutralMinionsKilled1, numeric
@ATTRIBUTE wardsPlaced1, numeric

@ATTRIBUTE champ2, numeric
@ATTRIBUTE kills2, numeric
@ATTRIBUTE deaths2, numeric
@ATTRIBUTE assists2, numeric
@ATTRIBUTE goldEarned2, numeric
@ATTRIBUTE totalMinionsKilled2, numeric
@ATTRIBUTE neutralMinionsKilled2, numeric
@ATTRIBUTE wardsPlaced2, numeric

@ATTRIBUTE champ3, numeric
@ATTRIBUTE kills3, numeric
@ATTRIBUTE deaths3, numeric
@ATTRIBUTE assists3, numeric
@ATTRIBUTE goldEarned3, numeric
@ATTRIBUTE totalMinionsKilled3, numeric
@ATTRIBUTE neutralMinionsKilled3, numeric
@ATTRIBUTE wardsPlaced3, numeric

@ATTRIBUTE champ4, numeric
@ATTRIBUTE kills4, numeric
@ATTRIBUTE deaths4, numeric
@ATTRIBUTE assists4, numeric
@ATTRIBUTE goldEarned4, numeric
@ATTRIBUTE totalMinionsKilled4, numeric
@ATTRIBUTE neutralMinionsKilled4, numeric
@ATTRIBUTE wardsPlaced4, numeric

@ATTRIBUTE champ5, numeric
@ATTRIBUTE kills5, numeric
@ATTRIBUTE deaths5, numeric
@ATTRIBUTE assists5, numeric
@ATTRIBUTE goldEarned5, numeric
@ATTRIBUTE totalMinionsKilled5, numeric
@ATTRIBUTE neutralMinionsKilled5, numeric
@ATTRIBUTE wardsPlaced5, numeric

@ATTRIBUTE champ6, numeric
@ATTRIBUTE kills6, numeric
@ATTRIBUTE deaths6, numeric
@ATTRIBUTE assists6, numeric
@ATTRIBUTE goldEarned6, numeric
@ATTRIBUTE totalMinionsKilled6, numeric
@ATTRIBUTE neutralMinionsKilled6, numeric
@ATTRIBUTE wardsPlaced6, numeric

@ATTRIBUTE champ7, numeric
@ATTRIBUTE kills7, numeric
@ATTRIBUTE deaths7, numeric
@ATTRIBUTE assists7, numeric
@ATTRIBUTE goldEarned7, numeric
@ATTRIBUTE totalMinionsKilled7, numeric
@ATTRIBUTE neutralMinionsKilled7, numeric
@ATTRIBUTE wardsPlaced7, numeric

@ATTRIBUTE champ8, numeric
@ATTRIBUTE kills8, numeric
@ATTRIBUTE deaths8, numeric
@ATTRIBUTE assists8, numeric
@ATTRIBUTE goldEarned8, numeric
@ATTRIBUTE totalMinionsKilled8, numeric
@ATTRIBUTE neutralMinionsKilled8, numeric
@ATTRIBUTE wardsPlaced8, numeric

@ATTRIBUTE champ9, numeric
@ATTRIBUTE kills9, numeric
@ATTRIBUTE deaths9, numeric
@ATTRIBUTE assists9, numeric
@ATTRIBUTE goldEarned9, numeric
@ATTRIBUTE totalMinionsKilled9, numeric
@ATTRIBUTE neutralMinionsKilled9, numeric
@ATTRIBUTE wardsPlaced9, numeric

@ATTRIBUTE champ10, numeric
@ATTRIBUTE kills10, numeric
@ATTRIBUTE deaths10, numeric
@ATTRIBUTE assists10, numeric
@ATTRIBUTE goldEarned10, numeric
@ATTRIBUTE totalMinionsKilled10, numeric
@ATTRIBUTE neutralMinionsKilled10, numeric
@ATTRIBUTE wardsPlaced10, numeric

@ATTRIBUTE win, { True, False }

@data
113,11,5,34,23284,116,112,4,67,15,8,10,21389,277,25,11,25,3,10,26,16667,79,1,38,19,10,14,21,19175,208,22,6,103,19,14,18,22971,289,23,3,39,11,12,9,18546,254,11,6,84,28,12,4,23383,213,21,13,18,9,13,11,21497,373,11,9,62,2,10,17,18388,134,98,21,44,1,12,24,16288,110,2,38,False
38,12,12,6,15415,179,6,17,91,3,13,15,14682,56,66,26,81,8,8,14,17188,212,24,9,75,9,9,23,20119,275,4,13,30,26,16,14,20003,180,6,9,25,4,11,32,15727,40,2,31,236,29,6,7,22964,239,10,5,115,12,12,12,17178,210,9,3,92,6,14,16,14381,133,2,7,32,7,15,21,18351,203,11,4,False
222,7,7,17,19644,298,31,10,5,3,11,9,13950,66,73,15,54,12,6,8,15000,147,7,11,1,9,3,12,12509,59,10,28,55,9,5,7,15729,262,4,15,113,12,5,11,19133,148,92,7,45,8,10,3,15025,233,6,6,18,8,11,3,18229,316,17,6,122,4,9,9,13011,143,4,11,99,0,5,4,9080,16,0,14,True
412,1,11,29,12905,38,0,45,50,10,3,17,18882,274,26,21,112,13,4,15,18346,253,15,7,107,12,9,21,20783,79,126,2,104,12,10,17,19319,261,6,14,81,9,11,14,19776,320,27,12,64,9,12,14,15782,85,56,39,7,8,8,8,14928,182,3,13,126,8,10,8,17976,267,41,13,117,3,7,20,13794,33,0,31,True
50,15,3,16,16267,146,12,2,18,8,6,14,14951,183,13,6,33,10,6,20,13691,94,0,11,80,13,7,13,16507,209,6,10,9,5,7,10,13617,99,69,11,44,2,9,19,11393,47,1,27,106,1,2,4,7543,50,0,4,31,12,7,4,15211,159,42,2,157,5,13,9,14897,226,27,17,67,8,20,6,10968,74,6,4,True
64,12,5,21,18652,102,75,27,67,8,6,10,16125,231,21,11,115,10,5,10,18068,285,43,6,143,7,13,20,14710,48,0,25,412,4,6,11,13392,194,4,11,19,5,8,11,15094,56,109,2,15,11,7,10,19093,310,23,11,53,2,10,15,10685,53,0,40,69,0,7,9,14693,291,16,11,92,17,9,5,19890,304,24,11,True
25,5,8,13,12624,115,2,6,157,10,16,9,15488,208,28,9,107,6,13,7,14610,142,43,3,29,13,9,8,14579,159,12,9,14,1,12,12,10299,82,2,8,34,18,6,11,15189,95,7,5,92,17,8,3,16669,208,10,3,102,6,2,14,16400,146,79,8,222,13,11,18,18588,257,7,2,89,4,8,24,13762,46,0,32,False
1,4,11,14,11764,71,0,35,60,7,10,13,15663,85,91,4,42,11,8,14,19047,333,5,7,79,7,11,8,12958,152,15,8,25,3,7,18,14291,209,13,14,14,6,6,22,16422,47,95,3,96,12,8,14,17291,219,11,11,31,17,4,11,18823,251,26,24,92,10,10,13,17282,230,49,9,43,2,4,31,13990,67,1,35,False
22,9,7,4,17508,286,17,2,60,10,7,8,13612,58,69,11,75,7,5,7,16034,243,25,5,99,2,11,13,13088,179,5,11,412,1,9,18,10544,33,0,41,80,5,5,14,16857,268,4,8,1,8,7,13,15131,208,10,8,133,12,7,11,18311,265,32,8,64,6,4,15,15519,122,62,31,37,8,6,22,15737,35,1,39,False
99,9,9,28,17179,105,8,26,32,15,3,20,20604,85,115,10,30,12,13,15,16757,197,9,6,51,7,16,9,15706,202,21,11,126,6,10,15,15820,212,15,6,238,18,10,10,18070,234,8,5,421,14,10,16,18711,112,101,8,236,9,11,19,19005,270,20,10,54,10,6,20,17488,262,2,6,40,0,12,30,12578,12,0,27,True
238,12,9,3,14021,204,5,7,53,1,5,15,10338,52,0,31,92,5,14,2,9642,86,12,11,42,13,8,9,17049,290,7,8,120,12,4,10,16732,131,71,12,76,12,10,13,14703,109,22,7,10,7,8,11,14124,150,39,12,54,10,3,17,17509,125,62,7,104,9,10,10,13700,150,5,10,17,1,13,6,9616,77,6,6,False
103,13,5,9,13609,140,11,9,222,7,8,16,16018,268,21,7,37,1,7,22,11730,43,1,30,62,3,11,17,11192,43,49,10,86,12,12,12,15434,242,1,7,79,6,10,13,13564,172,0,10,51,14,5,11,19775,276,48,7,89,1,6,17,10479,53,0,27,33,7,6,23,17016,69,79,9,24,15,9,9,18647,274,26,14,False
238,9,6,6,12846,185,13,6,105,8,7,6,12743,61,78,22,81,5,12,8,11919,211,2,5,101,1,5,11,9855,22,0,29,68,6,6,8,11628,147,9,9,75,7,5,5,15350,251,33,7,8,12,8,7,15050,184,5,8,21,11,5,7,16196,249,11,8,77,5,7,4,12809,48,86,16,267,1,5,18,11292,11,0,20,False
89,1,7,6,8885,62,5,20,105,13,10,3,16296,59,118,7,54,1,6,4,11190,208,0,8,1,5,11,4,12664,225,6,13,222,5,5,2,13186,248,9,6,161,9,6,10,14127,214,1,11,113,6,6,18,15747,62,107,6,67,7,6,13,16090,262,13,5,25,10,2,14,13480,68,1,44,120,7,5,15,14784,207,13,9,False
